epiOrStroma	Mean.Layer.1	Mean.Layer.2	Mean.Layer.3	Mean.of.inner.border.Layer.1	Mean.of.inner.border.Layer.2	Mean.of.inner.border.Layer.3	Border.Contrast.Layer.1	Border.Contrast.Layer.2	Border.Contrast.Layer.3	Contrast.to.neighbor.pixels.Layer.1..3.	Contrast.to.neighbor.pixels.Layer.2..3.	Contrast.to.neighbor.pixels.Layer.3..3.	Circular.Mean.Layer.1..R1..User..3..R2..Same...R1...border.	Circular.Mean.Layer.2..R1..User..3..R2..Same...R1...border.	Circular.Mean.Layer.3..R1..User..3..R2..Same...R1...border.	Mean.Diff..to.neighbors.Layer.1..0.	Mean.Diff..to.neighbors.Layer.2..0.	Mean.Diff..to.neighbors.Layer.3..0.	Mean.Diff..to.neighbors..abs..Layer.1..0.	Mean.Diff..to.neighbors..abs..Layer.2..0.	Mean.Diff..to.neighbors..abs..Layer.3..0.	Mean.diff..to.scene.Layer.1	Mean.diff..to.scene.Layer.2	Mean.diff..to.scene.Layer.3	Area..Pxl.	Border.length..Pxl.	Length..mu_m.	Number.of.pixels	Volume..Pxl.	Width..mu_m.	Area..excluding.inner.polygons...Pxl.	Number.of.edges..polygon.	Perimeter..polygon...Pxl.	Area.of.sub.objects..mean..1...Pxl.	GLCM.Homogeneity..quick.8.11..Layer.1..all.dir..	GLCM.Contrast..quick.8.11..Layer.1..all.dir..	GLCM.Dissimilarity..quick.8.11..Layer.1..all.dir..	GLCM.Ang..2nd.moment..quick.8.11..Layer.1..all.dir..	GLCM.Mean..quick.8.11..Layer.1..all.dir..	Number.of.sub.objects.Nucleus..1.	Number.of.sub.objects.Dark..1.	Area.of.sub.objects.Nucleus..1...Pxl.	Area.of.sub.objects.Dark..1...Pxl.	Rel..area.of.sub.objects.Nucleus..1.	Rel..area.of.sub.objects.Dark..1.	Rel..area.of.sub.objects.unclassified..1.
1	152.53955606	94.123343361	191.75518335	152.04285714	92.832142857	189.02738095	-6.823633157	-7.2742504409	-5.8791887125	-32.512665051	-83.645525761	-14.101951406	175.0625	104.3125	203.875	-13.771264223	-20.305084895	-8.9067770818	19.19999835	24.839767828	12.719146388	-30.788903848	-49.848497163	-16.632933525	12299	1134	216232172.92	12299	12299	107864094.72	12263.5	153	954.87872199	236.51923077	0.04758328471	814.95458373	21.037931309	9.3280234371e-05	152.37815851	16	33	5355	5761	0.43540125213	0.46841206602	0.096186681844
1	162.72106687	108.22894712	197.72740837	165.53185956	119.84915475	198.3289987	-7.226744186	-8.2069767442	-4.888372093	10.244165465	-35.914986957	11.120813043	139.0625	66.8125	181.625	-25.586638392	-38.276941231	-16.830043447	38.958238009	55.693986788	25.504106696	-20.607393044	-35.742893401	-10.660708499	10723	994	1.99e+08	10723	10723	1.03e+08	10729.5	108	856.85353934	297.86111111	0.050059461614	706.87553717	19.47281982	0.00010381724357	162.92792712	12	20	4650	3673	0.4336473002	0.34253473841	0.22381796139
1	153.68623348	104.29647577	190.44834802	161.14041096	109.8847032	193.98173516	-9.5960884354	-9.5595238095	-8.8418367347	-196.29643465	-370.75301469	-102.86199537	186.75	130.3125	214.4375	-22.199811967	-22.223671349	-15.102541637	32.377191829	42.776709396	21.923260039	-29.642226429	-39.675364753	-17.939768856	9080	1176	266513070.1	9080	9080	97246482.704	9097	136	971.12650248	324.28571429	0.04843505943	1004.7305311	23.227510351	0.00012212288019	153.24900692	11	15	3529	2853	0.38865638767	0.31420704846	0.29713656388
1	168.47598454	122.23081712	200.39853221	174.55515695	129.6206278	204.66008969	-6.4901960784	-7.7950089127	-3.9786096257	-144.49710024	-243.18281689	-63.546110302	213.0625	185	223.5625	-15.210967416	-17.722366719	-8.9252092402	40.133880796	60.309918816	28.228599103	-14.852475374	-21.741023409	-7.9895846672	30522	1374	3.47e+08	30522	30522	1.79e+08	30484	138	1202.5088607	423.91666667	0.059175697795	789.93682296	20.33206043	0.00013472587998	167.9024998	20	45	7796	11483	0.25542231833	0.37622043116	0.36835725051
1	150.24306048	96.827461841	190.26328331	163.26710098	112.59066232	197.12703583	-8.1705989111	-9.2749546279	-6.4800362976	-267.58859877	-564.87696174	-130.07602152	136.6875	76.6875	182.8125	-34.481593124	-42.77358785	-22.569005359	35.846606445	47.140827832	23.302326455	-33.085399434	-47.144378683	-18.124833561	15527	1188	245052430.04	15527	15527	127620697.9	15570	140	1007.4572479	323.47916667	0.05016608061	808.5320644	20.995335571	8.8845237036e-05	150.11978172	13	30	5716	7332	0.36813292974	0.47220969923	0.15965737103
1	145.34870299	86.408701719	185.85247669	142.83119658	85.697649573	177.3974359	-35.67768595	-37.080808081	-32.355371901	-151.14978108	-338.33001787	-80.155855542	158.25	95.4375	192.375	-22.777053899	-30.452011419	-15.504048502	28.075341645	36.560931435	19.655740357	-37.979756922	-57.563138805	-22.535640182	15767	1194	225811009.54	15767	15767	165435859.19	15809	138	1037.5450994	335.46808511	0.044321958529	1013.0776238	23.431814541	8.0055305297e-05	145.76032174	16	28	5768	8577	0.36582736094	0.54398427095	0.090188368111
1	116.20812039	57.819420784	163.01817149	131.71770335	77.559808612	169.31897927	-35.589242054	-35.58190709	-32.048899756	-402.86979433	-856.48937283	-208.8717376	245.3125	235.3125	251.0625	-73.034140534	-87.809201605	-51.96551594	73.034140534	87.809201605	51.96551594	-67.120339523	-86.15241974	-45.36994538	3522	818	139453105.88	3522	3522	70388810.358	3486	103	697.97398828	234.8	0.045117765564	1198.5672735	24.256829531	0.0001014501497	118.17067188	3	12	1071	2451	0.30408858603	0.69591141397	0
1	191.37174721	138.51911843	218.47344663	189.8489342	139.11584801	219.52734013	24.162589928	23.948201439	23.094244604	147.49640529	179.95092007	97.635578778	181.625	129	218.4375	27.482335332	19.91163292	21.111962289	49.294622043	61.555759536	33.729195735	8.0432873025	-5.452722096	10.085329754	3766	1390	170583555.82	3766	3766	159272060.42	3736.5	196	1201.0548628	342.36363636	0.048831998043	964.91388148	21.438250352	0.0001490309327	187.27087909	1	6	247	833	0.065586829527	0.22118959108	0.71322357939
1	146.60234092	83.63793001	188.82086626	154.26674234	97.479001135	191.47446084	-12.059139785	-13.055913978	-10.103225806	-80.04709794	-257.6504238	-28.570826518	147.5625	84.75	188.5	-23.692131464	-39.823333316	-13.052579732	24.174714667	39.823333316	14.195250125	-36.726118991	-60.333910514	-19.567250615	16831	1128	263393802.52	16831	16831	141017873.28	16857	118	980.65333206	330.01960784	0.051809539086	694.92365139	19.439663381	9.7128034059e-05	146.56231195	18	30	6907	8940	0.41037371517	0.53116273543	0.058463549403
1	154.36606239	100.11544124	191.22954817	168.04549855	121.27105518	198.27783156	-4.6407837446	-5.9622641509	-2.8628447025	-214.82432643	-534.88686209	-107.37679932	152.375	96.4375	191.3125	-23.25334524	-35.567641292	-15.166629125	42.658442336	58.670266636	28.229233008	-28.962397519	-43.85639928	-17.1585687	21734	1378	292409730.96	21734	21734	176435129.03	21720	182	1159.3683039	329.3030303	0.049250666522	979.75461798	22.914817314	9.5743568863e-05	153.92616194	21	38	8792	8573	0.40452746848	0.39445109046	0.20102144106
